variedade_tamanhos5 <-  Vizualizacao_externa1 localizacao5 (100.0 , 0.3 )

variedade_tamanhos5 <-  vitrine1 qualidade_produto2 (100.0 , 0.3 )

variedade_tamanhos5 <-  variedade_cores6 formas_pagamento4 (100.0 , 0.3 )

variedade_tamanhos5 <-  divulgacao5 variedade_cores3 (100.0 , 0.3 )

variedade_tamanhos5 <-  aparencia_loja1 divulgacao3 (100.0 , 0.3 )

variedade_tamanhos5 <-  localizacao2 Vendedor2 (50.0 , 2.3 )

variedade_tamanhos5 <-  aparencia_loja5 Vendedor3 (54.5 , 3.1 )

variedade_tamanhos5 <-  divulgacao4 atendimento5 (50.0 , 4.0 )

variedade_tamanhos5 <-  Vendedor1 manha (55.6 , 2.5 )

variedade_tamanhos5 <-  localizacao1 vitrine5 (60.0 , 4.2 )

variedade_tamanhos5 <-  divulgacao2 qualidade_produto5 (52.6 , 5.4 )

variedade_tamanhos5 <-  atendimento4 Vizualizacao_externa5 (51.0 , 14.4 )

variedade_tamanhos5 <-  localizacao6 vitrine2 Vizualizacao_externa3 (100.0 , 0.3 )

Vizualizacao_externa4 <-  aparencia_lojanr localizacao2 (100.0 , 0.3 )

Vizualizacao_externa4 <-  formas_pagamentonr aparencia_loja2 (100.0 , 0.3 )

Vizualizacao_externa4 <-  variedade_cores2 localizacao5 (100.0 , 0.3 )

Vizualizacao_externa4 <-  atendimento1 variedade_cores3 (50.0 , 0.6 )

Vizualizacao_externa4 <-  formas_pagamento5 atendimento6 (100.0 , 0.3 )

Vizualizacao_externa4 <-  divulgacao5 variedade_tamanhos1 (100.0 , 0.6 )

Vizualizacao_externa4 <-  localizacao6 qualidade_produto2 (50.0 , 1.1 )

Vizualizacao_externa4 <-  provador1 formas_pagamento3 (100.0 , 0.6 )

Vizualizacao_externa4 <-  vitrine2 divulgacao3 (50.0 , 0.6 )

Vizualizacao_externa4 <-  atendimento2 variedade_tamanhos2 (50.0 , 2.3 )

Vizualizacao_externa4 <-  aparencia_loja1 Vendedor3 (50.0 , 1.7 )

Vizualizacao_externa4 <-  qualidade_produto1 divulgacao4 (100.0 , 0.6 )

Vizualizacao_externa4 <-  aparencia_loja5 Vendedor1 (54.5 , 3.1 )

Vizualizacao_externa4 <-  formas_pagamento4 variedade_tamanhos3 (57.1 , 2.0 )

Vizualizacao_externa4 <-  Vendedor2 noite (50.0 , 4.5 )

Vizualizacao_externa4 <-  provador2 localizacao1 (50.0 , 3.4 )

Vizualizacao_externa4 <-  formas_pagamento2 variedade_cores4 (53.3 , 8.5 )

Vizualizacao_externa4 <-  atendimento3 provador4 (50.0 , 3.4 )

Vizualizacao_externa4 <-  localizacao4 aparencia_loja3 (50.0 , 6.8 )

Vizualizacao_externa4 <-  atendimento5 tarde (50.0 , 1.1 )

Vizualizacao_externa4 <-  vitrine3 qualidade_produto4 (50.0 , 9.6 )

Vizualizacao_externa4 <-  atendimento4 variedade_tamanhos4 (51.4 , 10.5 )

Vizualizacao_externa4 <-  divulgacao1 vitrine4 (50.0 , 11.3 )

Vizualizacao_externa5 <-  variedade_coresnr (50.0 , 0.6 )

Vizualizacao_externa5 <-  divulgacaonr (75.0 , 1.1 )

Vizualizacao_externa5 <-  provador (50.0 , 1.7 )

Vizualizacao_externa5 <-  divulgacao5 (55.0 , 5.7 )

Vizualizacao_externa5 <-  aparencia_loja5 (63.0 , 13.0 )

Vizualizacao_externa5 <-  provador5 (69.5 , 16.7 )

Vizualizacao_externa5 <-  vitrine5 (67.1 , 23.2 )

Vizualizacao_externa5 <-  localizacao4 (52.4 , 23.8 )

Vizualizacao_externa5 <-  variedade_tamanhos5 (59.5 , 23.8 )

Vizualizacao_externa5 <-  qualidade_produto5 (54.7 , 24.4 )

Vizualizacao_externa5 <-  variedade_cores5 (50.9 , 45.6 )

Vizualizacao_externa5 <-  localizacaonr Vendedor1 (100.0 , 0.3 )

Vizualizacao_externa5 <-  variedade_tamanhosnr NaoRetornou (100.0 , 0.3 )

Vizualizacao_externa5 <-  variedade_cores1 variedade_tamanhos3 (100.0 , 0.3 )

Vizualizacao_externa5 <-  variedade_cores2 provador1 (100.0 , 0.3 )

Vizualizacao_externa5 <-  atendimentonr formas_pagamento5 (100.0 , 0.3 )

Vizualizacao_externa5 <-  vitrine1 atendimento1 (50.0 , 0.6 )

Vizualizacao_externa5 <-  variedade_cores6 localizacao6 (66.7 , 0.8 )

Vizualizacao_externa5 <-  variedade_cores3 variedade_tamanhos1 (50.0 , 0.6 )

Vizualizacao_externa5 <-  localizacao5 formas_pagamento3 (50.0 , 1.1 )

Vizualizacao_externa5 <-  atendimento2 qualidade_produto2 (50.0 , 1.1 )

Vizualizacao_externa5 <-  atendimento6 formas_pagamento4 (66.7 , 0.8 )

Vizualizacao_externa5 <-  aparencia_loja1 Vendedor2 (50.0 , 1.1 )

Vizualizacao_externa5 <-  localizacao2 divulgacao3 (100.0 , 0.3 )

Vizualizacao_externa5 <-  variedade_tamanhos2 divulgacao4 (100.0 , 0.3 )

Vizualizacao_externa5 <-  provador2 localizacao3 (50.0 , 5.1 )

Vizualizacao_externa5 <-  localizacao1 qualidade_produto3 (50.0 , 2.3 )

Vizualizacao_externa5 <-  formas_pagamento2 aparencia_loja4 (50.0 , 4.5 )

Vizualizacao_externa5 <-  Vendedor3 atendimento3 (50.0 , 7.9 )

Vizualizacao_externa5 <-  divulgacao2 vitrine4 (50.0 , 7.9 )

Vizualizacao_externa5 <-  atendimento5 provador3 (52.6 , 5.4 )

Vizualizacao_externa5 <-  atendimento4 manha (52.9 , 9.6 )

Vizualizacao_externanr <-  qualidade_produtonr (100.0 , 0.6 )

Vizualizacao_externanr <-  vitrinenr (100.0 , 0.6 )

Vizualizacao_externanr <-  variedade_coresnr (50.0 , 0.6 )

Vizualizacao_externanr <-  aparencia_lojanr (66.7 , 0.8 )

Vizualizacao_externanr <-  localizacaonr (66.7 , 0.8 )

Vizualizacao_externanr <-  variedade_tamanhosnr (50.0 , 1.1 )

Vizualizacao_externanr <-  formas_pagamentonr (50.0 , 1.1 )

Vizualizacao_externanr <-  divulgacaonr variedade_cores4 (100.0 , 0.3 )

Vizualizacao_externanr <-  atendimentonr provador (50.0 , 1.1 )

variedade_cores6 <-  localizacao6 Vizualizacao_externa2 (50.0 , 0.6 )

variedade_cores6 <-  localizacao5 vitrine2 (50.0 , 0.6 )

variedade_cores6 <-  atendimento6 variedade_tamanhos2 (66.7 , 1.7 )

variedade_cores6 <-  qualidade_produto1 aparencia_loja2 (50.0 , 0.6 )

variedade_cores6 <-  formas_pagamento5 Vizualizacao_externa3 divulgacao4 (100.0 , 0.3 )

variedade_cores6 <-  provador1 qualidade_produto2 divulgacao2 (50.0 , 0.6 )

variedade_cores6 <-  variedade_tamanhos1 provador3 noite (50.0 , 0.6 )

variedade_cores6 <-  vitrine5 aparencia_loja3 provador4 (100.0 , 0.3 )

Vizualizacao_externa1 <-  variedade_cores1 variedade_tamanhos2 (50.0 , 0.6 )

Vizualizacao_externa1 <-  variedade_cores2 divulgacao5 (100.0 , 0.3 )

